date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:23	352/352	---MCZ	200	added ('OK')	text/plain	date:Thu,%2004%20Apr%202024%2014:17:35%20GMT	https://celebrationsballoon.wordpress.com/robots.txt		(from )
19:47:24	126376/126376	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Apr%202024%2014:17:35%20GMT	https://celebrationsballoon.wordpress.com/	C:/My%20Web%20Sites/tmkc/celebrationsballoon.wordpress.com/index.html	(from )
19:47:24	4233/4233	---MCZ	200	added ('OK')	text/css	etag:W/5350-1697652286547.8042	https://s1.wp.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar.css?m=1697652279i&cssminify=yes	C:/My%20Web%20Sites/tmkc/s1.wp.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar31b8.css	(from https://celebrationsballoon.wordpress.com/)
19:47:24	1661/1661	---MCZ	200	added ('OK')	application/rss+xml	date:Thu,%2004%20Apr%202024%2014:17:36%20GMT	https://celebrationsballoon.wordpress.com/feed/	C:/My%20Web%20Sites/tmkc/celebrationsballoon.wordpress.com/feed/index.html	(from https://celebrationsballoon.wordpress.com/)
19:47:24	930/930	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2283aa95607e94512901d186dde85bedff%22	https://celebrationsballoon.wordpress.com/comments/feed/	C:/My%20Web%20Sites/tmkc/celebrationsballoon.wordpress.com/comments/feed/index.html	(from https://celebrationsballoon.wordpress.com/)
19:47:24	16469/16469	---MCZ	200	added ('OK')	text/css	etag:W/16484-1711565248755.5015	https://s1.wp.com/wp-content/plugins/gutenberg-core/v18.0.0/build/block-library/blocks/navigation/style.css?m=1711565231i&cssminify=yes	C:/My%20Web%20Sites/tmkc/s1.wp.com/wp-content/plugins/gutenberg-core/v18.0.0/build/block-library/blocks/navigation/style72a3.css	(from https://celebrationsballoon.wordpress.com/)
19:47:24	7035/7035	---MCZ	200	added ('OK')	text/css	etag:W/7049-1711565247714.237	https://s1.wp.com/wp-content/plugins/gutenberg-core/v18.0.0/build/block-library/blocks/image/style.css?m=1711565231i&cssminify=yes	C:/My%20Web%20Sites/tmkc/s1.wp.com/wp-content/plugins/gutenberg-core/v18.0.0/build/block-library/blocks/image/style72a3.css	(from https://celebrationsballoon.wordpress.com/)
19:47:25	369/369	---M--	200	added ('OK')	text/css	etag:%226466d548-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	C:/My%20Web%20Sites/tmkc/s1.wp.com/_static/indexd02a.html	(from https://celebrationsballoon.wordpress.com/)
19:47:25	335465/335465	---MCZ	200	added ('OK')	text/css	etag:W/335533-1705430319498.1921	https://widgets.wp.com/verbum-block-editor/block-editor.css?ver=1705430309	C:/My%20Web%20Sites/tmkc/widgets.wp.com/verbum-block-editor/block-editor0a16.css	(from https://celebrationsballoon.wordpress.com/)
19:47:25	311/311	---M--	200	added ('OK')	text/css	etag:W/471-1684465105525.5059	https://s2.wp.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	C:/My%20Web%20Sites/tmkc/s2.wp.com/wp-content/themes/h4/globalf753.css	(from https://celebrationsballoon.wordpress.com/)
